id,Jenis Penyakit,Provinsi,Jenis - Kelamin,Jumlah Kasus,Populasi,Tanggal,medium
51,Dengue,Jawa Timur,Female,1,416808,10/9/2020,Gigitan Serangga
52,Dengue,DI Yogyakarta,Male,1,448703,10/27/2019,Gigitan Serangga
53,Dengue,Banten,Female,2,420256,10/24/2018,Gigitan Serangga
54,Dengue,Bali,Male,1,452066,9/30/2023,Gigitan Serangga
55,Dengue,Maluku Utara,Male,2,85315,11/5/2022,Gigitan Serangga
56,Dengue,DKI Jakarta,Female,2,4880972,10/2/2023,Gigitan Serangga
57,Dengue,DKI Jakarta,Male,3,4756384,10/25/2024,Gigitan Serangga
58,Dengue,DKI Jakarta,Male,1,4798953,12/16/2023,Gigitan Serangga
59,Dengue,DKI Jakarta,Male,1,4832160,10/13/2023,Gigitan Serangga
60,Dengue,DKI Jakarta,Female,1,4971912,12/8/2020,Gigitan Serangga
61,Dengue,DKI Jakarta,Male,2,4839224,11/29/2018,Gigitan Serangga
62,Dengue,DKI Jakarta,Male,3,4827681,12/18/2021,Gigitan Serangga
63,Dengue,DKI Jakarta,Female,1,4966464,12/12/2018,Gigitan Serangga
64,Dengue,DKI Jakarta,Female,2,4969936,9/30/2018,Gigitan Serangga
65,Dengue,DKI Jakarta,Male,1,4836848,11/18/2019,Gigitan Serangga
66,Dengue,DKI Jakarta,Female,18,4982072,12/8/2024,Gigitan Serangga
67,Dengue,DKI Jakarta,Male,14,4844727,12/19/2018,Gigitan Serangga
68,Dengue,DKI Jakarta,Female,6,4999643,10/7/2019,Gigitan Serangga
69,Dengue,DKI Jakarta,Male,6,4864351,12/19/2024,Gigitan Serangga
70,Dengue,DKI Jakarta,Female,12,5040999,10/13/2019,Gigitan Serangga
71,Dengue,DKI Jakarta,Female,9,5073236,11/11/2019,Gigitan Serangga
72,Dengue,DKI Jakarta,Female,17,5099884,11/24/2023,Gigitan Serangga
73,Dengue,DI Yogyakarta,Male,1,124301,10/21/2021,Gigitan Serangga
74,Dengue,Nusa Tenggara Timur,Female,1,130130,11/11/2021,Gigitan Serangga
75,Dengue,Kalimantan Barat,Male,2,125648,11/15/2019,Gigitan Serangga
76,Dengue,Kalimantan Barat,Female,1,43794,9/10/2020,Gigitan Serangga
77,Dengue,Sulawesi Tenggara,Female,1,43958,11/10/2023,Gigitan Serangga
78,Dengue,Sumatera Utara,Female,2,198136,9/16/2020,Gigitan Serangga
79,Dengue,Sumatera Barat,Male,1,209838,9/10/2023,Gigitan Serangga
80,Dengue,Kepulauan Riau,Female,1,198192,12/31/2024,Gigitan Serangga
81,Dengue,Bangka Belitung,Female,1,202106,11/29/2020,Gigitan Serangga
82,Dengue,Jawa Tengah,Male,1,216023,9/21/2018,Gigitan Serangga
83,Dengue,Jawa Timur,Male,1,216873,9/2/2020,Gigitan Serangga
84,Dengue,Banten,Male,1,218888,10/23/2024,Gigitan Serangga
85,Dengue,Papua Barat,Female,2,69108,11/22/2018,Gigitan Serangga
86,Dengue,Aceh,Male,1,69824,12/12/2020,Gigitan Serangga
87,Dengue,Sumatera Utara,Female,1,69855,9/23/2019,Gigitan Serangga
88,Dengue,Nusa Tenggara Barat,Female,1,49853,12/9/2024,Gigitan Serangga
89,Dengue,Kalimantan Utara,Female,3,1456262,10/28/2022,Gigitan Serangga
90,Dengue,Sulawesi Tengah,Female,1,1482035,10/1/2022,Gigitan Serangga
91,Dengue,Sulawesi Selatan,Male,2,1457684,9/25/2023,Gigitan Serangga
92,Dengue,Maluku,Female,1,1491355,12/29/2019,Gigitan Serangga
93,Dengue,Papua,Female,1,1496600,11/6/2018,Gigitan Serangga
94,Dengue,Papua Barat,Male,2,1469223,12/5/2018,Gigitan Serangga
95,Dengue,Aceh,Male,1,1477630,12/10/2022,Gigitan Serangga
96,Dengue,Sumatera Utara,Female,1,1512749,11/23/2024,Gigitan Serangga
97,Dengue,Sumatera Barat,Male,2,1492384,10/1/2022,Gigitan Serangga
98,Dengue,Riau,Female,4,1539616,12/26/2019,Gigitan Serangga
99,Dengue,Kepulauan Riau,Male,1,1506897,11/5/2019,Gigitan Serangga
100,Dengue,Jambi,Male,2,1520356,11/14/2023,Gigitan Serangga
101,Dengue,Sumatera Selatan,Female,2,1566211,10/23/2023,Gigitan Serangga
102,Dengue,Bengkulu,Male,5,1533252,10/28/2018,Gigitan Serangga
103,Dengue,Lampung,Male,9,1549421,9/13/2023,Gigitan Serangga
104,Dengue,Kalimantan Timur,Female,1,179214,10/16/2023,Gigitan Serangga
105,Dengue,Kalimantan Utara,Male,1,171058,11/4/2018,Gigitan Serangga
106,Dengue,Nusa Tenggara Timur,Male,1,807987,11/3/2018,Gigitan Serangga
107,Dengue,Kalimantan Barat,Female,1,890269,9/23/2019,Gigitan Serangga
108,Dengue,Sulawesi Tengah,Male,1,1003511,11/14/2024,Gigitan Serangga
109,Dengue,Maluku,Female,1,1101193,10/31/2023,Gigitan Serangga
110,Dengue,Maluku Utara,Male,1,1090726,11/24/2020,Gigitan Serangga
111,Dengue,Aceh,Female,4,1129673,11/20/2021,Gigitan Serangga
112,Dengue,Sumatera Barat,Female,3,1137546,9/6/2023,Gigitan Serangga
113,Dengue,Riau,Male,1,1127023,9/21/2019,Gigitan Serangga
114,Dengue,Kepulauan Riau,Female,1,1152765,11/27/2019,Gigitan Serangga
115,Dengue,Jambi,Male,4,1142533,11/14/2024,Gigitan Serangga
116,Dengue,Sumatera Selatan,Female,1,646848,10/19/2022,Gigitan Serangga
117,Dengue,Kalimantan Barat,Male,1,686026,11/13/2022,Gigitan Serangga
118,Dengue,Kalimantan Selatan,Male,1,691550,9/21/2023,Gigitan Serangga
119,Dengue,Sulawesi Tengah,Female,3,731575,9/22/2019,Gigitan Serangga
120,Dengue,Sulawesi Selatan,Male,1,703543,10/2/2018,Gigitan Serangga
121,Dengue,Sulawesi Tenggara,Female,1,736595,12/26/2020,Gigitan Serangga
122,Dengue,Gorontalo,Male,1,708862,9/8/2018,Gigitan Serangga
123,Dengue,Maluku,Male,1,716435,11/11/2020,Gigitan Serangga
124,Dengue,Sulawesi Tengah,Female,1,975953,12/1/2024,Gigitan Serangga
125,Dengue,Papua Barat,Male,1,1006601,9/16/2022,Gigitan Serangga
126,Dengue,Riau,Female,1,1037268,11/2/2020,Gigitan Serangga
127,Dengue,Kepulauan Riau,Male,3,1026599,10/23/2021,Gigitan Serangga
128,Dengue,Jambi,Male,1,1032092,11/18/2023,Gigitan Serangga
129,Dengue,Sumatera Selatan,Female,6,1050698,9/29/2019,Gigitan Serangga
130,Dengue,Jawa Timur,Male,2,1441983,11/3/2020,Gigitan Serangga
131,Dengue,Jawa Timur,Male,1,1513945,9/1/2021,Gigitan Serangga
132,Dengue,Jawa Timur,Female,1,1518655,11/26/2018,Gigitan Serangga
133,Dengue,Jawa Timur,Female,5,1540578,9/8/2023,Gigitan Serangga
134,Dengue,Jawa Timur,Male,2,1562326,12/16/2022,Gigitan Serangga
135,Dengue,Jawa Timur,Male,3,1574325,9/10/2023,Gigitan Serangga
136,Dengue,Jawa Timur,Female,6,1565261,10/18/2021,Gigitan Serangga
137,Dengue,Jawa Timur,Male,3,1588115,12/30/2021,Gigitan Serangga
138,Dengue,Jawa Timur,Male,7,1599983,12/3/2022,Gigitan Serangga
139,Dengue,Jawa Timur,Female,4,1595079,10/28/2024,Gigitan Serangga
140,Dengue,Kalimantan Utara,Male,1,406809,10/26/2021,Gigitan Serangga
141,Dengue,Sulawesi Utara,Female,3,396251,9/16/2022,Gigitan Serangga
142,Dengue,Sulawesi Tenggara,Female,1,409265,11/16/2024,Gigitan Serangga
143,Dengue,Gorontalo,Male,2,421691,12/13/2023,Gigitan Serangga
144,Dengue,Sulawesi Barat,Female,3,412902,11/2/2018,Gigitan Serangga
145,Dengue,Jawa Barat,Male,1,341992,12/30/2020,Gigitan Serangga
146,Dengue,Bali,Male,2,350259,11/12/2022,Gigitan Serangga
147,Dengue,Maluku Utara,Female,1,131413,12/12/2024,Gigitan Serangga
148,Dengue,Sumatera Utara,Male,1,138738,11/21/2020,Gigitan Serangga
149,Dengue,Riau,Female,1,133302,10/10/2024,Gigitan Serangga
150,Dengue,Kepulauan Riau,Male,1,140021,10/5/2021,Gigitan Serangga
151,Dengue,Sumatera Selatan,Male,1,347751,12/7/2018,Gigitan Serangga
152,Dengue,Lampung,Female,1,357397,11/21/2022,Gigitan Serangga
153,Dengue,Jawa Tengah,Male,1,343820,10/9/2022,Gigitan Serangga
154,Dengue,Nusa Tenggara Timur,Male,1,349781,10/6/2023,Gigitan Serangga
155,Dengue,Kalimantan Barat,Female,3,363936,12/5/2021,Gigitan Serangga
156,Dengue,Kalimantan Timur,Male,3,353837,12/7/2018,Gigitan Serangga
157,Dengue,Sulawesi Utara,Female,3,377244,11/23/2019,Gigitan Serangga
158,Dengue,Sulawesi Tengah,Male,2,368089,10/26/2022,Gigitan Serangga
159,Dengue,Sulawesi Selatan,Female,4,201546,12/1/2021,Gigitan Serangga
160,Dengue,Sulawesi Tenggara,Male,2,201896,10/7/2022,Gigitan Serangga
161,Dengue,Sulawesi Barat,Female,1,204367,9/18/2021,Gigitan Serangga
162,Dengue,Aceh,Male,1,206404,12/25/2020,Gigitan Serangga
163,Dengue,Riau,Female,1,209105,9/16/2024,Gigitan Serangga
164,Dengue,Lampung,Female,1,211814,10/10/2018,Gigitan Serangga
165,Dengue,Jawa Barat,Male,1,214265,12/26/2018,Gigitan Serangga
166,Dengue,Jawa Tengah,Female,3,214964,10/6/2020,Gigitan Serangga
167,Dengue,Jawa Timur,Male,1,217146,12/3/2022,Gigitan Serangga
168,Dengue,Nusa Tenggara Barat,Male,1,856439,10/14/2024,Gigitan Serangga
169,Dengue,Sulawesi Selatan,Male,1,874064,9/23/2018,Gigitan Serangga
170,Dengue,Gorontalo,Female,5,882602,11/21/2021,Gigitan Serangga
171,Dengue,Sulawesi Barat,Male,4,892288,12/26/2024,Gigitan Serangga
172,Dengue,Maluku,Male,6,896357,12/19/2019,Gigitan Serangga
173,Dengue,Maluku Utara,Female,1,900923,11/7/2019,Gigitan Serangga
174,Dengue,Papua,Male,2,906438,10/23/2023,Gigitan Serangga
175,Dengue,Papua Barat,Female,3,911248,12/24/2024,Gigitan Serangga
176,Dengue,Aceh,Male,10,916065,10/19/2020,Gigitan Serangga
177,Dengue,Sumatera Utara,Female,4,924969,12/25/2023,Gigitan Serangga
178,Dengue,Sumatera Barat,Male,6,928254,9/12/2018,Gigitan Serangga
179,Dengue,Riau,Male,8,938235,10/27/2019,Gigitan Serangga
180,Dengue,Jawa Timur,Female,1,127995,10/22/2019,Gigitan Serangga
181,Dengue,Bali,Male,1,128554,9/3/2022,Gigitan Serangga
182,Dengue,Kalimantan Timur,Female,1,134421,11/29/2022,Gigitan Serangga
183,Dengue,Sulawesi Tengah,Male,2,135323,11/5/2018,Gigitan Serangga
184,Dengue,Riau,Male,1,206076,9/25/2021,Gigitan Serangga
185,Dengue,Kepulauan Riau,Female,1,207595,11/8/2020,Gigitan Serangga
186,Dengue,Sumatera Selatan,Female,2,211988,12/2/2022,Gigitan Serangga
187,Dengue,DKI Jakarta,Male,1,228786,10/17/2018,Gigitan Serangga
188,Dengue,Kalimantan Barat,Male,1,232651,9/27/2019,Gigitan Serangga
189,Dengue,Kalimantan Timur,Female,1,243970,12/5/2024,Gigitan Serangga
190,Dengue,Sulawesi Utara,Female,1,246025,9/25/2021,Gigitan Serangga
191,Dengue,Sulawesi Tenggara,Female,3,247993,9/5/2024,Gigitan Serangga
192,Dengue,Sulawesi Barat,Male,3,242017,12/1/2018,Gigitan Serangga
193,Dengue,Maluku,Female,2,251616,12/8/2021,Gigitan Serangga
194,Dengue,Maluku Utara,Male,3,244068,11/10/2020,Gigitan Serangga
195,Dengue,Nusa Tenggara Timur,Female,1,265760,11/28/2022,Gigitan Serangga
196,Dengue,Papua Barat,Female,1,47546,10/29/2023,Gigitan Serangga
197,Dengue,Maluku,Female,1,221174,10/16/2023,Gigitan Serangga
198,Dengue,Maluku Utara,Male,1,221912,11/14/2021,Gigitan Serangga
199,Dengue,Jawa Barat,Female,1,411541,12/18/2020,Gigitan Serangga
200,Dengue,Bali,Female,1,419032,9/24/2024,Gigitan Serangga
201,Dengue,Nusa Tenggara Barat,Male,1,414329,9/26/2018,Gigitan Serangga
202,Dengue,Nusa Tenggara Timur,Male,1,417301,10/23/2024,Gigitan Serangga
203,Dengue,Kalimantan Tengah,Male,1,419792,10/8/2020,Gigitan Serangga
204,Dengue,Aceh,Male,1,99947,10/7/2018,Gigitan Serangga
205,Dengue,Sumatera Utara,Female,1,105598,9/11/2022,Gigitan Serangga
206,Dengue,Riau,Female,2,106165,9/11/2022,Gigitan Serangga
207,Dengue,Kalimantan Tengah,Female,1,35896,12/25/2024,Gigitan Serangga
208,Gonorrhea,Kalimantan Tengah,Female,37,111415,12/18/2023,Darah dan Seks
209,Gonorrhea,Kalimantan Timur,Female,70,111548,12/2/2020,Darah dan Seks
210,Gonorrhea,Sulawesi Utara,Female,147,112637,12/28/2023,Darah dan Seks
211,Gonorrhea,Sulawesi Tengah,Male,154,111268,12/27/2018,Darah dan Seks
212,Gonorrhea,Sulawesi Tenggara,Female,1,21136,12/13/2018,Darah dan Seks
213,Gonorrhea,Maluku,Male,4,21531,12/8/2020,Darah dan Seks
214,Gonorrhea,Maluku Utara,Female,6,22015,12/4/2018,Darah dan Seks
215,Gonorrhea,Papua,Male,5,21909,12/6/2022,Darah dan Seks
216,Gonorrhea,Jawa Barat,Male,13830,17607062,12/2/2022,Darah dan Seks
217,Gonorrhea,Jawa Barat,Female,13783,17969405,12/17/2023,Darah dan Seks
218,Gonorrhea,Jawa Barat,Male,16615,17785422,12/17/2018,Darah dan Seks
219,Gonorrhea,Jawa Barat,Female,13136,19028077,12/29/2020,Darah dan Seks
220,Gonorrhea,Papua,Female,842,747676,12/14/2024,Darah dan Seks
221,Gonorrhea,Aceh,Female,877,746959,12/7/2024,Darah dan Seks
222,Gonorrhea,Riau,Female,1162,746698,12/20/2021,Darah dan Seks
223,Gonorrhea,Sumatera Selatan,Male,1157,724347,12/22/2020,Darah dan Seks
224,Gonorrhea,Lampung,Female,1,16101,12/9/2021,Darah dan Seks
225,Gonorrhea,Bali,Male,4,20845,12/6/2019,Darah dan Seks
226,Gonorrhea,Sulawesi Selatan,Female,5,16358,12/22/2021,Darah dan Seks
227,Gonorrhea,Sulawesi Barat,Male,10,101033,12/10/2018,Darah dan Seks
228,Gonorrhea,Papua,Male,63,103625,12/28/2019,Darah dan Seks
229,Gonorrhea,Sumatera Barat,Male,49,105281,12/20/2021,Darah dan Seks
230,Gonorrhea,Jawa Barat,Male,19,109194,12/28/2022,Darah dan Seks
231,Gonorrhea,Nusa Tenggara Barat,Female,4,22842,12/19/2022,Darah dan Seks
232,Gonorrhea,Sulawesi Tenggara,Female,3,22468,12/22/2018,Darah dan Seks
233,Gonorrhea,Maluku,Male,8,22408,12/15/2024,Darah dan Seks
234,Gonorrhea,Maluku Utara,Female,9,22552,12/15/2021,Darah dan Seks
235,Gonorrhea,Sumatera Barat,Female,3,9661,12/22/2024,Darah dan Seks
236,Gonorrhea,Riau,Male,1,10024,12/9/2020,Darah dan Seks
237,Gonorrhea,Kepulauan Riau,Female,3,9891,12/6/2023,Darah dan Seks
238,Gonorrhea,Lampung,Female,4,10228,12/21/2018,Darah dan Seks
239,Gonorrhea,Kalimantan Barat,Male,272,473054,12/7/2018,Darah dan Seks
240,Gonorrhea,Sulawesi Utara,Female,398,511239,12/5/2021,Darah dan Seks
241,Gonorrhea,Sulawesi Tengah,Male,364,486962,12/25/2021,Darah dan Seks
242,Gonorrhea,Sulawesi Tenggara,Male,336,490062,12/22/2021,Darah dan Seks
243,Gonorrhea,Aceh,Male,338,513099,12/28/2021,Darah dan Seks
244,Gonorrhea,Sumatera Barat,Female,544,547638,12/26/2019,Darah dan Seks
245,Gonorrhea,Kepulauan Riau,Male,430,527673,12/3/2018,Darah dan Seks
246,Gonorrhea,Jawa Barat,Female,1,12649,12/1/2021,Darah dan Seks
247,Gonorrhea,Banten,Female,1,12697,12/29/2018,Darah dan Seks
248,Gonorrhea,Maluku,Male,5,82314,12/6/2019,Darah dan Seks
249,Gonorrhea,Papua Barat,Female,6,85200,12/15/2023,Darah dan Seks
250,Gonorrhea,Aceh,Male,8,85104,12/25/2020,Darah dan Seks
251,Gonorrhea,Riau,Male,8,87604,12/7/2021,Darah dan Seks
252,Gonorrhea,Bengkulu,Male,9,89825,12/8/2019,Darah dan Seks
253,Gonorrhea,Lampung,Male,9,90511,12/24/2024,Darah dan Seks
254,Gonorrhea,DKI Jakarta,Male,5,90298,12/20/2020,Darah dan Seks
255,Gonorrhea,Jawa Tengah,Male,11,91335,12/15/2021,Darah dan Seks
256,Gonorrhea,Jawa Timur,Female,10,91508,12/10/2020,Darah dan Seks
257,Gonorrhea,DI Yogyakarta,Male,28,91450,12/15/2021,Darah dan Seks
258,Gonorrhea,Banten,Female,21,92046,12/11/2020,Darah dan Seks
259,Gonorrhea,Bali,Male,30,91911,12/7/2018,Darah dan Seks
260,Gonorrhea,Kalimantan Tengah,Male,424,414430,12/11/2020,Darah dan Seks
261,Gonorrhea,Kalimantan Selatan,Male,458,422899,12/5/2022,Darah dan Seks
262,Gonorrhea,Aceh,Female,682,469845,12/17/2024,Darah dan Seks
263,Gonorrhea,Bangka Belitung,Female,1,13251,12/28/2018,Darah dan Seks
264,Gonorrhea,Sulawesi Selatan,Male,3,14463,12/29/2020,Darah dan Seks
265,Gonorrhea,Sulawesi Tenggara,Male,1,14508,12/4/2024,Darah dan Seks
266,Gonorrhea,Gorontalo,Female,20,64153,12/2/2023,Darah dan Seks
267,Gonorrhea,Sulawesi Barat,Male,10,63970,12/29/2018,Darah dan Seks
268,Gonorrhea,Sumatera Utara,Female,14,66298,12/15/2018,Darah dan Seks
269,Gonorrhea,Sumatera Barat,Male,7,65928,12/24/2020,Darah dan Seks
270,Gonorrhea,Riau,Female,17,66619,12/25/2021,Darah dan Seks
271,Gonorrhea,Sumatera Selatan,Male,10,66903,12/19/2020,Darah dan Seks
272,Gonorrhea,Kalimantan Utara,Male,25,81531,12/11/2020,Darah dan Seks
273,Gonorrhea,Sulawesi Utara,Female,21,78596,12/8/2021,Darah dan Seks
274,Gonorrhea,Sulawesi Tengah,Male,22,83936,12/26/2023,Darah dan Seks
275,Gonorrhea,Sumatera Barat,Male,1,8968,12/6/2022,Darah dan Seks
276,Gonorrhea,Kepulauan Riau,Male,1,9088,12/10/2018,Darah dan Seks
277,Gonorrhea,Bangka Belitung,Female,3,9309,12/3/2018,Darah dan Seks
278,Gonorrhea,DKI Jakarta,Male,3,9154,12/16/2020,Darah dan Seks
279,Gonorrhea,Jawa Barat,Female,1,9267,12/23/2021,Darah dan Seks
280,Gonorrhea,DI Yogyakarta,Female,1,9209,12/2/2023,Darah dan Seks
281,Gonorrhea,Kalimantan Utara,Male,1,9451,12/18/2024,Darah dan Seks
282,Gonorrhea,Sumatera Barat,Female,530,404512,12/16/2022,Darah dan Seks
283,Gonorrhea,Jawa Timur,Female,59,61768,12/12/2019,Darah dan Seks
284,Gonorrhea,Nusa Tenggara Barat,Female,54,64272,12/6/2024,Darah dan Seks
285,Gonorrhea,Kalimantan Selatan,Male,9,86475,12/12/2020,Darah dan Seks
286,Gonorrhea,Kalimantan Utara,Male,21,85952,12/28/2023,Darah dan Seks
287,Gonorrhea,Sulawesi Utara,Male,26,85407,12/14/2021,Darah dan Seks
288,Gonorrhea,Sulawesi Tengah,Female,49,65192,12/16/2024,Darah dan Seks
289,Gonorrhea,Gorontalo,Male,81,84796,12/26/2024,Darah dan Seks
290,Gonorrhea,Sumatera Barat,Male,4,31812,12/8/2018,Darah dan Seks
291,Gonorrhea,Kepulauan Riau,Male,9,31962,12/26/2024,Darah dan Seks
292,Gonorrhea,Kalimantan Selatan,Female,3,12495,12/27/2018,Darah dan Seks
293,Gonorrhea,Kalimantan Timur,Male,9,22033,12/1/2022,Darah dan Seks
294,Gonorrhea,Sulawesi Utara,Male,1,22389,12/15/2018,Darah dan Seks
295,Gonorrhea,Maluku Utara,Female,1,12465,12/10/2024,Darah dan Seks
296,Gonorrhea,Papua,Male,4,22212,12/17/2020,Darah dan Seks
297,Gonorrhea,Aceh,Male,4,21604,12/8/2019,Darah dan Seks
298,Gonorrhea,Sumatera Barat,Female,3,12089,12/27/2022,Darah dan Seks
299,Gonorrhea,DKI Jakarta,Male,4735,4832160,12/15/2018,Darah dan Seks
300,Gonorrhea,DKI Jakarta,Female,4717,4977473,12/17/2019,Darah dan Seks
301,Gonorrhea,DKI Jakarta,Male,5656,4846619,12/7/2023,Darah dan Seks
302,Gonorrhea,DKI Jakarta,Male,5912,4827681,12/5/2020,Darah dan Seks
303,Gonorrhea,DKI Jakarta,Male,4963,4831902,12/3/2018,Darah dan Seks
304,Gonorrhea,DKI Jakarta,Female,3597,4982072,12/13/2018,Darah dan Seks
305,Gonorrhea,DKI Jakarta,Male,10715,4970740,12/11/2021,Darah dan Seks
306,Gonorrhea,Kepulauan Riau,Female,24,65826,12/8/2018,Darah dan Seks
307,Gonorrhea,Jambi,Female,38,66805,12/20/2018,Darah dan Seks
308,Gonorrhea,Nusa Tenggara Barat,Male,9,71745,12/6/2022,Darah dan Seks
309,Gonorrhea,Kalimantan Barat,Male,15,72263,12/13/2019,Darah dan Seks
310,Gonorrhea,Kalimantan Selatan,Female,50,78861,12/20/2018,Darah dan Seks
311,Gonorrhea,Sulawesi Utara,Male,39,72833,12/21/2020,Darah dan Seks
312,Gonorrhea,Sulawesi Tenggara,Female,87,79988,12/15/2019,Darah dan Seks
313,Gonorrhea,Gorontalo,Male,74,74290,12/24/2022,Darah dan Seks
314,Gonorrhea,Jawa Timur,Female,28,130130,12/22/2021,Darah dan Seks
315,Gonorrhea,DI Yogyakarta,Male,56,125648,12/19/2024,Darah dan Seks
316,Gonorrhea,Nusa Tenggara Timur,Male,1,8807,12/22/2018,Darah dan Seks
317,Gonorrhea,Kalimantan Tengah,Male,1,8900,12/1/2018,Darah dan Seks
318,Gonorrhea,Maluku,Male,1,9317,12/18/2022,Darah dan Seks
319,Gonorrhea,Sumatera Selatan,Female,2,8836,12/17/2021,Darah dan Seks
320,Gonorrhea,DKI Jakarta,Female,6,43658,12/10/2021,Darah dan Seks
321,Gonorrhea,Jawa Barat,Male,6,43482,12/28/2019,Darah dan Seks
322,Gonorrhea,Bali,Female,9,44205,12/6/2022,Darah dan Seks
323,Gonorrhea,Kalimantan Selatan,Male,13,43690,12/6/2024,Darah dan Seks
324,Gonorrhea,Kalimantan Timur,Female,9,43887,12/18/2024,Darah dan Seks
325,Gonorrhea,Kalimantan Utara,Male,10,43759,12/9/2020,Darah dan Seks
326,Gonorrhea,Sulawesi Tengah,Male,3,43842,12/11/2024,Darah dan Seks
327,Gonorrhea,Sulawesi Barat,Female,14,44115,12/11/2022,Darah dan Seks
328,Gonorrhea,Maluku,Male,5,44435,12/3/2021,Darah dan Seks
329,Gonorrhea,Sumatera Utara,Female,42,108778,12/5/2023,Darah dan Seks
330,Gonorrhea,Riau,Male,65,114624,12/30/2024,Darah dan Seks
331,Gonorrhea,Bengkulu,Male,102,120483,12/9/2022,Darah dan Seks
332,Gonorrhea,Bangka Belitung,Male,91,123068,12/7/2019,Darah dan Seks
333,Gonorrhea,Jawa Barat,Male,57,125184,12/28/2018,Darah dan Seks
334,Gonorrhea,Jawa Tengah,Female,52,125498,12/8/2022,Darah dan Seks
